year,State_from,State_to,estimate,MOE
2011,Illinois,Michigan,9897,1863
2011,Illinois,Minnesota,8209,2632
2011,Illinois,Mississippi,2068,853
2011,Illinois,Missouri,20161,3086
2011,Illinois,Montana,765,526
2011,Illinois,Nevada,1668,1031
2011,Illinois,New Hampshire,478,402
2011,Illinois,New Jersey,3690,1572
2011,Illinois,New Mexico,466,315
2011,Illinois,New York,6914,1720
2011,Illinois,North Carolina,5971,2065
2011,Illinois,North Dakota,571,504
2011,Illinois,Ohio,7027,1504
2011,Illinois,Oklahoma,2179,1297
2011,Illinois,Oregon,1350,663
2011,Illinois,Pennsylvania,3902,1438
2011,Illinois,Rhode Island,373,375
2011,Illinois,South Carolina,2371,831
2011,Illinois,South Dakota,267,235
2011,Illinois,Tennessee,8593,2245
2011,Illinois,Texas,15064,3097
2011,Illinois,Utah,1447,825
2011,Illinois,Vermont,386,245
2011,Illinois,Virginia,4000,1213
2011,Illinois,Washington,2062,821
2011,Illinois,West Virginia,1331,1134
2011,Illinois,Wisconsin,25521,4568
2011,Illinois,Wyoming,450,409
2011,Indiana,Alabama,1434,634
2011,Indiana,Alaska,181,156
2011,Indiana,Arizona,5855,1956
2011,Indiana,Arkansas,1362,1007
2011,Indiana,California,4673,1297
2011,Indiana,Colorado,2116,1289
2011,Indiana,Connecticut,168,214
2011,Indiana,Delaware,210,235
2011,Indiana,Florida,11472,3254
2011,Indiana,Georgia,2442,1297
2011,Indiana,Hawaii,402,280
2011,Indiana,Idaho,296,352
2011,Indiana,Illinois,23491,5269
2011,Indiana,Iowa,349,204
2011,Indiana,Kansas,863,458
2011,Indiana,Kentucky,11071,2846
2011,Indiana,Louisiana,1549,827
2011,Indiana,Maine,164,157
2011,Indiana,Maryland,1318,791
2011,Indiana,Massachusetts,640,456
2011,Indiana,Michigan,7668,1841
2011,Indiana,Minnesota,786,470
2011,Indiana,Mississippi,611,411
2011,Indiana,Missouri,4404,1588
2011,Indiana,Montana,646,646
2011,Indiana,Nevada,855,781
2011,Indiana,New Hampshire,470,394
2011,Indiana,New Jersey,718,436
2011,Indiana,New Mexico,2030,2244
2011,Indiana,New York,2198,958
2011,Indiana,North Carolina,3228,1379
2011,Indiana,North Dakota,130,171
2011,Indiana,Ohio,11588,2147
2011,Indiana,Oklahoma,2113,1098
2011,Indiana,Oregon,1371,1707
2011,Indiana,Pennsylvania,4086,1429
2011,Indiana,Rhode Island,41,95
2011,Indiana,South Carolina,3249,1601
2011,Indiana,South Dakota,285,378
2011,Indiana,Tennessee,5645,1932
2011,Indiana,Texas,10265,3693
2011,Indiana,Utah,545,398
2011,Indiana,Vermont,258,210
2011,Indiana,Virginia,2703,1067
2011,Indiana,Washington,2303,1315
2011,Indiana,West Virginia,210,200
2011,Indiana,Wisconsin,4017,2027
2011,Indiana,Wyoming,6,14
2011,Iowa,Alabama,30,52
2011,Iowa,Alaska,319,374
2011,Iowa,Arizona,4526,1745
2011,Iowa,Arkansas,851,773
2011,Iowa,California,3324,1701
2011,Iowa,Colorado,3510,1495
2011,Iowa,Connecticut,67,120
2011,Iowa,Delaware,0,192
2011,Iowa,Florida,1846,1137
2011,Iowa,Georgia,950,528
2011,Iowa,Hawaii,478,504
2011,Iowa,Idaho,318,424
2011,Iowa,Illinois,8420,1581
2011,Iowa,Indiana,916,468
2011,Iowa,Kansas,1715,888
2011,Iowa,Kentucky,536,410
2011,Iowa,Louisiana,468,441
2011,Iowa,Maine,275,452
2011,Iowa,Maryland,110,146
2011,Iowa,Massachusetts,138,136
2011,Iowa,Michigan,1709,1026
2011,Iowa,Minnesota,6175,1326
2011,Iowa,Mississippi,650,603
2011,Iowa,Missouri,4811,1405
2011,Iowa,Montana,417,307
2011,Iowa,Nevada,114,188
